Protein.Group	low_moderate_fc	low_moderate_p	low_moderate_B	moderate_high_fc	moderate_high_p	moderate_high_B	diff_fc	diff_B	protein	Protein.Names	Genes	annotate	significant
P28290	-0.1267483685764974	0.22374420322228206	-4.194049374874612	-0.1845213296907794	0.023334098610528427	-1.995356785437071	0.057772961114281984	-2.198692589437541	P28290	ITPI2_HUMAN	ITPRID2	FALSE	TRUE
P08684	-0.35542399119085166	0.07592164057102023	-2.4276689831676634	-0.40592708724517235	0.028037767782760247	-2.203219216855552	0.050503096054320684	-0.22444976631211144	P08684	CP3A4_HUMAN	CYP3A4	FALSE	TRUE
P08319	-0.29258080624555727	0.021633546853752902	-0.5671565371808205	-0.3244483254119742	0.00434925624054113	0.12179684370985022	0.03186751916641695	-0.6889533808906707	P08319	ADH4_HUMAN	ADH4	FALSE	TRUE
O94875	-0.2223568322613818	0.02999486228068163	-0.9995683494267693	-0.2494966363891414	0.00904169107871959	-0.7880923411671157	0.027139804127759598	-0.21147600825965363	O94875	SRBS2_HUMAN	SORBS2	FALSE	TRUE
Q06278	-0.2621682775280203	0.022727387183607443	-0.6262398093221249	-0.2865343896405645	3.382231151152241e-4	3.4168201708188324	0.02436611211254419	-4.043059980140957	Q06278	AOXA_HUMAN	AOX1	FALSE	TRUE
Q9NS37	-0.1661152013581932	0.11309847825427258	-3.043783154183316	-0.18902076660658784	0.018846749716887493	-1.5425029427953696	0.022905565248394655	-1.5012802113879462	Q9NS37	ZHANG_HUMAN	CREBZF	FALSE	TRUE
O75891	-0.24413393489611696	0.03577527150342174	-1.2394849575769662	-0.25306309909743024	0.0019511827248933319	1.1759887149923927	0.008929164201313289	-2.415473672569359	O75891	AL1L1_HUMAN	ALDH1L1	FALSE	TRUE
Q7Z4W1	-0.16944234537858985	0.14756963789109845	-3.516499890699732	-0.17683792044760127	0.022761145838823462	-1.959008565594571	0.007395575069011423	-1.5574913251051608	Q7Z4W1	DCXR_HUMAN	DCXR	FALSE	TRUE
P11586	-0.2056882829910286	0.015553570080314418	-0.12527262967039032	-0.19678220032572757	9.735989917084952e-4	2.044530979441358	-0.008906082665301018	-2.1698036091117485	P11586	C1TC_HUMAN	MTHFD1	FALSE	TRUE
Q9ULX7	-0.3665068090426194	0.069432447162018393	-2.26203959610475	-0.3538869852635257	0.015470737685861175	-1.4207788055663846	-0.012619823779093708	-0.8412607905383656	Q9ULX7	CAH14_HUMAN	CA14	FALSE	TRUE
P51857	-0.28401689028424615	0.02980757105250818	-0.9766823858155051	-0.23453915001540376	0.002126078966773112	1.048908770426852	-0.049477740268842385	-2.025591156242357	P51857	AK1D1_HUMAN	AKR1D1	FALSE	TRUE
