Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA single nuclei brain specificity	RNA single nuclei brain distribution	RNA single nuclei brain specificity score	RNA single nuclei brain specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	Secretome function	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Brain expression cluster	Cell line expression cluster	Single cell expression cluster	Interactions	Subcellular main location	Subcellular additional location	Antibody RRID	Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (validation)	Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (validation)	Cancer prognostics - Glioblastoma Multiforme (TCGA)	Cancer prognostics - Glioblastoma Multiforme (validation)	Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Chromophobe (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)	Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (validation)	Cancer prognostics - Lung Adenocarcinoma (TCGA)	Cancer prognostics - Lung Adenocarcinoma (validation)	Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Lung Squamous Cell Carcinoma (validation)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)	Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)	Cancer prognostics - Pancreatic Adenocarcinoma (validation)	Cancer prognostics - Prostate Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (validation)	Cancer prognostics - Skin Cuteneous Melanoma (TCGA)	Cancer prognostics - Stomach Adenocarcinoma (TCGA)	Cancer prognostics - Testicular Germ Cell Tumor (TCGA)	Cancer prognostics - Thyroid Carcinoma (TCGA)	Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
C4BPA	C4BP	ENSG00000123838	Complement component 4 binding protein alpha	P04003	1	207104233-207144972	Human disease related genes, Plasma proteins, Predicted secreted proteins	Complement pathway, Immunity, Innate immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	11	liver: 1860.6	Group enriched	Detected in some	4	"Alveolar cells type 2: 321.7;Hepatocytes: 852.2"	Low cell type specificity	Detected in many			Group enriched	Detected in many	18	"Liver Hepatocellular Carcinoma (TCGA): 540.0;Lung Adenocarcinoma (TCGA): 144.5"	Low region specificity	Detected in many			Immune cell enriched	Detected in single	137	neutrophil: 29.6	Lineage enriched	Detected in single	137	granulocytes: 29.6	Cancer enhanced	Detected in some		"liver cancer: 7.4;lung cancer: 3.9"	Liver - Hepatocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells	Not detected	Not detected			Region enhanced	Detected in single		midbrain: 1.6	HPA000926, HPA001578	Enhanced				Secreted to blood	Complement pathway	NA	NA	30800000000	33000000000	Cluster 4: Neutrophils - Degranulation	Cluster 83: Liver - Metabolism	Cluster 26: Oligodendrocytes - Mixed function	Cluster 72: Neuronal - Signal transduction	Cluster 62: Hepatocytes - Metabolism	5			HPA000926: AB_1078355, HPA001578: AB_1078354		unprognostic (2.04e-3)	unprognostic (1.30e-1)	unprognostic (9.20e-2)	unprognostic (4.28e-2)	unprognostic (2.96e-1)					unprognostic (4.36e-6)		unprognostic (7.43e-2)	unprognostic (5.71e-4)	unprognostic (1.64e-2)	unprognostic (2.49e-5)	unprognostic (2.87e-1)	unprognostic (1.23e-3)	unprognostic (2.68e-1)		unprognostic (8.24e-2)	unprognostic (3.68e-2)	unprognostic (1.35e-1)		unprognostic (1.17e-1)	unprognostic (1.64e-1)		unprognostic (1.41e-1)			unprognostic (1.10e-2)
C4BPB	C4BP	ENSG00000123843	Complement component 4 binding protein beta	P20851	1	207088860-207099993	Human disease related genes, Plasma proteins, Predicted secreted proteins	Complement pathway, Immunity, Innate immunity			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	13	liver: 458.6	Cell type enriched	Detected in many	12	Hepatocytes: 654.1	Low cell type specificity	Detected in single			Cancer enriched	Detected in many	22	Liver Hepatocellular Carcinoma (TCGA): 272.1	Not detected	Not detected			Immune cell enhanced	Detected in single		plasmacytoid DC: 1.1	Low lineage specificity	Detected in single			Cancer enhanced	Detected in many		Bile duct cancer: 39.5	Adipose subcutaneous - Macrophages, Minor Salivary Gland - Minor salivary glandular cells, Testis - Late spermatids					Not detected	Not detected			HPA000925, HPA051620	Approved		Uncertain	Golgi apparatus	Secreted to blood	Complement pathway	NA	NA	2,65E+11	1400000000	Cluster 30: Non-specific - DNA binding	Cluster 31: Liver - Plasma proteins		Cluster 53: Squamous epithelial cells - Keratinization	Cluster 43: Hepatocytes - Metabolism	1	Golgi apparatus		HPA000925: , HPA051620: AB_2681554		unprognostic (1.24e-1)	unprognostic (1.03e-1)	unprognostic (1.89e-1)	unprognostic (2.15e-1)	unprognostic (1.77e-1)				unprognostic (2.67e-3)				unprognostic (8.51e-3)	unprognostic (6.63e-3)	unprognostic (8.74e-2)	unprognostic (2.46e-2)					unprognostic (2.60e-2)	unprognostic (1.46e-1)		unprognostic (4.08e-1)	unprognostic (2.29e-2)		unprognostic (2.92e-1)			unprognostic (3.22e-1)
C5	C5a, C5b, CPAMD4	ENSG00000106804	Complement C5	P01031	9	120932987-121075195	Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Inflammatory response, Innate immunity		FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	30	liver: 434.4	Cell type enriched	Detected in many	14	Hepatocytes: 435.9	Low cell type specificity	Detected in all			Cancer enriched	Detected in many	10	Liver Hepatocellular Carcinoma (TCGA): 87.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	5	liver cancer: 21.1	Liver - Hepatocytes, Thyroid gland - Fibroblasts	Low region specificity	Detected in single			Low region specificity	Detected in many			HPA029339	Supported				Secreted to blood	Complement pathway	NA	NA	1,13E+11	41000000000		Cluster 83: Liver - Metabolism	Cluster 46: Brainstem - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	22			HPA029339: AB_10601125		unprognostic (3.76e-1)	unprognostic (1.10e-1)	unprognostic (4.64e-4)	unprognostic (9.13e-3)	unprognostic (7.89e-5)	unprognostic (1.56e-1)	unprognostic (2.11e-1)			unprognostic (1.84e-1)	unprognostic (1.07e-1)	unprognostic (1.60e-3)	unprognostic (5.22e-3)	unprognostic (2.32e-3)	unprognostic (3.04e-1)	unprognostic (9.93e-2)	unprognostic (9.13e-3)	unprognostic (3.72e-1)		unprognostic (2.47e-1)	unprognostic (4.98e-2)	unprognostic (1.29e-1)	unprognostic (6.90e-2)		unprognostic (1.46e-1)		unprognostic (6.11e-2)	unprognostic (2.29e-1)	unprognostic (1.01e-1)	
C6		ENSG00000039537	Complement C6	P13671	5	41142116-41261438	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	Complement pathway, Cytolysis, Immunity, Innate immunity		Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	11	liver: 610.3	Cell type enhanced	Detected in some		"Cholangiocytes: 125.9;Ciliated cells: 63.9;Hepatocytes: 323.6;Late spermatids: 53.2;Leydig cells: 118.1"	Cell type enhanced	Detected in many		ependymal cell: 19.6	Cancer enhanced	Detected in many		Liver Hepatocellular Carcinoma (TCGA): 66.9	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		Bone cancer: 1.1	Liver - Hepatocytes, Lung - Respiratory ciliated cells, Minor Salivary Gland - Adipocytes (Minor salivary gland), Spleen - Fibroblast_2	Not detected	Not detected			Low region specificity	Detected in single			HPA043823, CAB069427	Enhanced				Secreted to blood	Complement pathway	NA	NA	45000000000	13000000000		Cluster 83: Liver - Metabolism	Cluster 3: Choroid plexus - Cilium	Cluster 44: Connective tissue cells - ECM organization	Cluster 62: Hepatocytes - Metabolism	3			CAB069427: AB_1614336, HPA043823: AB_10960262			unprognostic (1.98e-2)							unprognostic (1.18e-1)	unprognostic (2.11e-3)	unprognostic (3.95e-1)	unprognostic (7.40e-2)	unprognostic (2.51e-3)	unprognostic (4.58e-6)	unprognostic (6.13e-3)	unprognostic (1.85e-2)					unprognostic (1.96e-1)	unprognostic (2.30e-2)					unprognostic (8.11e-4)			unprognostic (4.96e-1)
C8A		ENSG00000157131	Complement C8 alpha chain	P07357	1	56854768-56918223	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters	Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	279	liver: 481.7	Cell type enriched	Detected in some	14	Hepatocytes: 257.7	Not detected	Not detected			Cancer enriched	Detected in single	129	Liver Hepatocellular Carcinoma (TCGA): 90.1	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA077621			Supported	Plasma membrane	Secreted to blood	Complement pathway	NA	NA		10000000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	7	Plasma membrane		HPA077621: 														unprognostic (5.69e-3)	unprognostic (6.93e-7)																
C8B		ENSG00000021852	Complement C8 beta chain	P07358	1	56929207-56974383	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	127	liver: 630.0	Cell type enriched	Detected in some	11	Hepatocytes: 247.1	Not detected	Not detected			Cancer enriched	Detected in some	98	Liver Hepatocellular Carcinoma (TCGA): 151.1	Not detected	Not detected			Immune cell enriched	Detected in single	23	basophil: 2.3	Lineage enriched	Detected in single	23	granulocytes: 2.3	Cancer enriched	Detected in single	11	liver cancer: 1.1	Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Testis - Late spermatids	Not detected	Not detected			Low region specificity	Detected in all			HPA023694	Supported				Secreted to blood	Complement pathway	NA	NA		10000000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	1			HPA023694: AB_1847128			unprognostic (1.84e-2)											unprognostic (1.88e-4)	unprognostic (3.33e-8)	unprognostic (3.81e-3)	unprognostic (6.11e-2)														
C8G		ENSG00000176919	Complement C8 gamma chain	P07360	9	136945185-136946975	Human disease related genes, Plasma proteins, Predicted secreted proteins	Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity			Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	18	liver: 550.5	Cell type enriched	Detected in some	9	Hepatocytes: 1036.6	Low cell type specificity	Detected in some			Cancer enriched	Detected in some	63	Liver Hepatocellular Carcinoma (TCGA): 273.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	"Gastric cancer: 6.2;liver cancer: 2.1"		Low region specificity	Detected in all			Low region specificity	Detected in all			HPA046269	Approved				Secreted to blood	Complement pathway	NA	NA		3600000000		Cluster 31: Liver - Plasma proteins		Cluster 57: Stomach & Colon cancer - Digestion	Cluster 62: Hepatocytes - Metabolism	3			HPA046269: AB_2679606			unprognostic (2.28e-1)		unprognostic (5.61e-2)									unprognostic (5.12e-4)	unprognostic (1.90e-2)							unprognostic (1.28e-1)	unprognostic (2.30e-1)		unprognostic (2.24e-1)			unprognostic (2.28e-1)			
C9		ENSG00000113600	Complement C9	P02748	5	39284140-39371324	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Complement alternate pathway, Complement pathway, Cytolysis, Immunity, Innate immunity		Age-related macular degeneration, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	264	liver: 1268.7	Cell type enriched	Detected in some	10	Hepatocytes: 1939.7	Cell type enhanced	Detected in many		"central nervous system macrophage: 7.2;fibroblast: 8.7"	Cancer enriched	Detected in some	72	Liver Hepatocellular Carcinoma (TCGA): 96.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in some			CAB002151, HPA029577	Uncertain				Secreted to blood	Complement pathway	NA	NA	69600000000	48000000000		Cluster 31: Liver - Plasma proteins		Cluster 59: Leukemia - T-cell receptor	Cluster 62: Hepatocytes - Metabolism	6			CAB002151: AB_563670, HPA029577: AB_10603779										unprognostic (1.09e-1)				unprognostic (1.47e-1)	unprognostic (2.45e-3)																
CCL16	CKb12, HCC-4, LCC-1, LEC, LMC, Mtn-1, NCC-4, SCYA16, SCYL4	ENSG00000275152	C-C motif chemokine ligand 16	O15467	17	35976493-35981497	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Chemotaxis, Inflammatory response	Cytokine	Cancer-related genes	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	45	liver: 116.5	Cell type enriched	Detected in some	71	Hepatocytes: 272.3	Not detected	Not detected			Cancer enriched	Detected in single	161	Liver Hepatocellular Carcinoma (TCGA): 43.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes					Low region specificity	Detected in many								Secreted to blood	Chemokine	NA	NA	2780000	29000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	2						unprognostic (4.52e-2)											unprognostic (4.52e-2)	unprognostic (1.60e-2)																
CFB	BF, BFD, H2-Bf	ENSG00000243649	Complement factor B	P00751	6	31945650-31952086	Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Complement alternate pathway, Immunity, Innate immunity	Hydrolase, Protease, Serine protease	Age-related macular degeneration, Disease variant, Hemolytic uremic syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	20	liver: 2453.1	Cell type enhanced	Detected in many		"Ductal cells: 913.7;Exocrine glandular cells: 569.1;Hepatocytes: 199.3;Mesothelial cells: 453.1;Pancreatic endocrine cells: 368.5"	Cell type enhanced	Detected in some		"endothelial cell: 5.7;vascular associated smooth muscle cell: 1.7"	Cancer enriched	Detected in all	7	Liver Hepatocellular Carcinoma (TCGA): 1256.7	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	5	head and neck cancer: 34.6	Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Mesothelial cells, Liver - Hepatocytes, Minor Salivary Gland - Minor salivary glandular cells, Spleen - Fibroblast_1	Not detected	Not detected			Low region specificity	Detected in all			HPA000951, HPA001817, HPA001832, CAB016381	Supported		Approved	Endoplasmic reticulum,Vesicles,Cell Junctions	Secreted to blood	Immunity	NA	NA	879000000	1,1E+11		Cluster 83: Liver - Metabolism	Cluster 12: Non-specific - Vasculature	Cluster 53: Squamous epithelial cells - Keratinization	Cluster 45: Non-specific - Mixed function	5	Endoplasmic reticulum, Vesicles	Cell Junctions	CAB016381: AB_627562, HPA000951: AB_2797216, HPA001817: AB_1078779, HPA001832: AB_1078778	unprognostic (5.49e-2)	unprognostic (4.40e-3)	unprognostic (3.23e-1)	unprognostic (5.23e-2)	unprognostic (4.18e-1)	unprognostic (2.43e-1)	unprognostic (3.73e-2)		unprognostic (1.35e-1)	unprognostic (1.24e-1)	unprognostic (4.67e-5)	unprognostic (8.00e-2)	unprognostic (4.88e-3)	unprognostic (7.40e-3)	unprognostic (2.67e-7)	unprognostic (2.88e-1)	unprognostic (1.46e-1)	unprognostic (1.25e-1)	unprognostic (1.26e-2)	unprognostic (2.32e-1)	unprognostic (6.23e-2)	unprognostic (1.16e-2)	unprognostic (1.36e-1)	unprognostic (1.34e-1)	unprognostic (3.57e-2)	unprognostic (7.08e-2)	unprognostic (2.88e-1)	unprognostic (1.87e-1)	unprognostic (1.01e-2)	unprognostic (1.67e-3)	unprognostic (3.70e-2)
CFH	ARMD4, ARMS1, FHL1, HF, HF1, HF2, HUS	ENSG00000000971	Complement factor H	P08603	1	196651754-196752476	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Complement alternate pathway, Host-virus interaction, Immunity, Innate immunity		Age-related macular degeneration, Cancer-related genes, Disease variant, Hemolytic uremic syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in all	6	liver: 1645.3	Cell type enhanced	Detected in many		"Fibroblasts: 355.9;Hepatocytes: 834.8;Leydig cells: 285.2;Mesothelial cells: 388.2;Ovarian stromal cells: 208.2"	Group enriched	Detected in many	7	"endothelial cell: 317.6;fibroblast: 269.5;pericyte: 401.5;vascular associated smooth muscle cell: 148.7"	Cancer enriched	Detected in all	9	Liver Hepatocellular Carcinoma (TCGA): 468.2	Region enhanced	Detected in all		choroid plexus: 43.6	Immune cell enhanced	Detected in some		MAIT T-cell: 17.6	Lineage enriched	Detected in single	56	T-cells: 17.6	Cancer enhanced	Detected in many		Gallbladder cancer: 59.2	Adrenal gland - Fibroblasts, Heart muscle - Fibroblasts, Liver - Hepatocytes, Lung - Fibroblast_2									CAB016385, CAB016769, HPA038922, HPA049176, HPA053326	Supported		Approved	Vesicles	Secreted to blood	Immunity	NA	NA	3,96E+11	1,3E+11	Cluster 1: T-cells - Unknown function	Cluster 83: Liver - Metabolism	Cluster 42: Choroid plexus - Mitochondria	Cluster 71: Lymphoma - Inflammatory response	Cluster 53: Fibroblasts - ECM organization	9	Vesicles		CAB016385: AB_627572, CAB016769: , HPA038922: AB_2676271, HPA049176: AB_2680663, HPA053326: AB_2682113	unprognostic (3.13e-1)	unprognostic (2.15e-1)	unprognostic (4.36e-1)	unprognostic (1.11e-1)	unprognostic (3.06e-1)	unprognostic (8.76e-2)	unprognostic (2.05e-3)	unprognostic (3.31e-4)	unprognostic (2.53e-1)	unprognostic (1.00e-1)	unprognostic (3.90e-3)	unprognostic (2.61e-2)	unprognostic (1.18e-1)	unprognostic (1.61e-3)	unprognostic (3.15e-3)	unprognostic (1.59e-1)	unprognostic (1.52e-2)	unprognostic (2.07e-1)	unprognostic (2.26e-2)	unprognostic (5.66e-2)	unprognostic (2.03e-2)	unprognostic (4.27e-2)	unprognostic (1.04e-1)	unprognostic (1.81e-1)	unprognostic (6.36e-2)	unprognostic (1.33e-1)	unprognostic (1.27e-2)	unprognostic (8.56e-3)	unprognostic (8.89e-3)	unprognostic (2.24e-1)	unprognostic (2.87e-2)
CFHR1	CFHL, CFHL1, CFHL1P, CFHR1P, FHR1, H36-1, H36-2, HFL1, HFL2	ENSG00000244414	Complement factor H related 1	Q03591	1	196819731-196837159	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins			Cancer-related genes, Hemolytic uremic syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	224	liver: 2010.5	Cell type enhanced	Detected in some		"Granulosa cells: 65.7;Hepatocytes: 223.4;Kupffer cells: 55.4"	Cell type enhanced	Detected in single		MGE interneuron: 1.2	Cancer enriched	Detected in some	595	Liver Hepatocellular Carcinoma (TCGA): 781.2	Region enhanced	Detected in single		midbrain: 1.7	Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		"Sarcoma: 3.3;thyroid cancer: 7.0"	Liver - Hepatocytes	Not detected	Not detected							HPA038915, HPA038922, HPA040726	Supported		Approved	Vesicles	Secreted to blood	Complement pathway	NA	NA	75000000000	16000000000		Cluster 31: Liver - Plasma proteins	Cluster 41: Monoamines - Neurotransmitter signalling	Cluster 16: Thyroid cancer - Neuronal signaling	Cluster 62: Hepatocytes - Metabolism	7	Vesicles		HPA038915: AB_2676269, HPA038922: AB_2676271, HPA040726: AB_2677101			unprognostic (8.31e-2)								unprognostic (3.58e-4)	unprognostic (7.84e-4)		unprognostic (1.25e-4)	unprognostic (6.51e-7)								unprognostic (1.90e-1)								
CFHR2	CFHL2, FHR2, HFL3	ENSG00000080910	Complement factor H related 2	P36980	1	196943738-196959622	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins				Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	2840	liver: 1309.3	Cell type enriched	Detected in some	26	Hepatocytes: 1227.2	Not detected	Not detected			Cancer enriched	Detected in single	638	Liver Hepatocellular Carcinoma (TCGA): 520.0	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes									HPA038915, HPA040726, HPA049813	Supported				Secreted to blood	Complement pathway	NA	NA	40000000000	4900000000		Cluster 31: Liver - Plasma proteins		Cluster 7: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	1			HPA038915: AB_2676269, HPA040726: AB_2677101, HPA049813: AB_2680895														unprognostic (9.28e-4)	unprognostic (2.20e-4)																
CFHR3	CFHL3, DOWN16, FHR-3, FHR3, HLF4	ENSG00000116785	Complement factor H related 3	Q02985	1	196774813-196795407	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins			Hemolytic uremic syndrome	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	982	liver: 381.0	Cell type enriched	Detected in some	6	Hepatocytes: 139.6	Cell type enhanced	Detected in some		"endothelial cell: 1.3;pericyte: 2.5"	Cancer enriched	Detected in single	65	Liver Hepatocellular Carcinoma (TCGA): 63.4	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		"Myeloma: 2.6;thyroid cancer: 2.8"										HPA077529			Approved	Vesicles	Secreted to blood	Complement pathway	NA	NA	582000000	3700000000		Cluster 31: Liver - Plasma proteins	Cluster 9: Non-specific - Receptor signaling	Cluster 16: Thyroid cancer - Neuronal signaling	Cluster 62: Hepatocytes - Metabolism	2	Vesicles		HPA077529: 			unprognostic (4.08e-1)											unprognostic (2.57e-5)	unprognostic (5.85e-9)		unprognostic (2.54e-1)		unprognostic (8.16e-2)												
CFHR4	CFHL4, FHR-4, FHR4	ENSG00000134365	Complement factor H related 4	Q92496	1	196888014-196918795	Plasma proteins, Predicted secreted proteins				Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	548	liver: 98.6	Cell type enriched	Detected in some	6	Hepatocytes: 36.6	Cell type enhanced	Detected in some		"deep-layer near-projecting: 2.4;MGE interneuron: 1.9"	Cancer enriched	Detected in single	166	Liver Hepatocellular Carcinoma (TCGA): 26.3	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes														Secreted to blood	Complement pathway	NA	NA	28000000000	270000000		Cluster 31: Liver - Plasma proteins		Cluster 51: Myeloma - Immunoglobulins	Cluster 62: Hepatocytes - Metabolism																		unprognostic (7.83e-7)	unprognostic (3.12e-5)																
CFHR5	CFHL5, FHR-5, FHR5	ENSG00000134389	Complement factor H related 5	Q9BXR6	1	196975010-197009678	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins			Disease variant, Hemolytic uremic syndrome	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	1620	liver: 162.0	Cell type enriched	Detected in some	21	Hepatocytes: 95.1	Cell type enriched	Detected in single	4	deep-layer near-projecting: 1.2	Cancer enriched	Detected in single	272	Liver Hepatocellular Carcinoma (TCGA): 61.2	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatocytes									HPA038915, HPA040726	Supported				Secreted to blood	Complement pathway	NA	NA	2550000000	1900000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	15			HPA038915: AB_2676269, HPA040726: AB_2677101														unprognostic (1.09e-2)	unprognostic (1.42e-5)																
