Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ERLIN2	"C8orf2, Erlin-2, NET32, SPFH2, SPG18"	ENSG00000147475	"ER lipid raft associated 2"	O94905	8	37736601-37758422	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"	"Cholesterol metabolism, Lipid metabolism, Steroid metabolism, Sterol metabolism"		"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"ependymal cell: 66.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes, Testis - Spermatogonia, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA002025, CAB014894"	Supported		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	Other	NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 75: Serous glandular cells - Salivary secretion"	69	"Endoplasmic reticulum"		"CAB014894: , HPA002025: AB_1080077"	"unprognostic (8.20e-3)"	"unprognostic (9.42e-4)"	"unprognostic (2.96e-1)"	"unprognostic (1.59e-2)"	"unprognostic (1.21e-2)"	"unprognostic (2.78e-3)"	"unprognostic (1.24e-3)"	"unprognostic (1.51e-2)"	"unprognostic (2.00e-2)"	"unprognostic (6.56e-4)"	"unprognostic (1.44e-8)"	"unprognostic (5.25e-3)"	"unprognostic (1.32e-2)"	"unprognostic (5.91e-2)"	"unprognostic (9.32e-2)"	"unprognostic (1.03e-1)"	"unprognostic (2.71e-1)"	"unprognostic (5.58e-2)"	"unprognostic (6.46e-3)"	"unprognostic (3.33e-1)"	"unprognostic (6.16e-3)"	"unprognostic (4.45e-3)"	"unprognostic (3.53e-3)"	"unprognostic (6.70e-3)"	"unprognostic (1.65e-2)"	"unprognostic (1.62e-1)"	"unprognostic (7.30e-2)"	"unprognostic (1.00e-1)"	"unprognostic (2.63e-1)"	"unprognostic (3.63e-1)"	"unprognostic (9.14e-2)"
ERN2	IRE1b	ENSG00000134398	"Endoplasmic reticulum to nucleus signaling 2"	Q76MJ5	16	23690310-23713226	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Apoptosis, Transcription, Transcription regulation"	"Hydrolase, Kinase, Multifunctional enzyme, Serine/threonine-protein kinase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"cervix: 18.7;gallbladder: 16.4;intestine: 28.0;salivary gland: 22.2;stomach 1: 50.5"	"Cell type enhanced"	"Detected in some"		"Club cells: 56.5;Distal enterocytes: 92.0;Enteroendocrine cells: 39.6;Gastric mucus-secreting cells: 159.2;Intestinal goblet cells: 147.0;Ionocytes: 59.6;Undifferentiated cells: 37.5"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Colon Adenocarcinoma (TCGA): 23.2;Pancreatic Adenocarcinoma (TCGA): 27.1;Stomach Adenocarcinoma (TCGA): 22.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Bile duct cancer: 13.3;colorectal cancer: 19.5;Gallbladder cancer: 8.9;Gastric cancer: 16.2;pancreatic cancer: 8.7"	"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary glandular cells, Pancreas - Ductal cells, Pituitary gland - Gonadotropes, Prostate - Urothelial cells, Skin - Eccrine sweat gland cells, Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA076875	Approved		Approved	"Endoplasmic reticulum,Cytosol"	"Intracellular and membrane"	Transcription	NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 16: Intestinal goblet cells - Mucin production"		"Endoplasmic reticulum, Cytosol"		"HPA076875: "	"unprognostic (6.86e-2)"		"unprognostic (4.20e-2)"	"unprognostic (1.86e-2)"	"unprognostic (5.55e-2)"	"unprognostic (2.36e-2)"										"unprognostic (1.29e-1)"	"unprognostic (2.08e-3)"					"unprognostic (7.69e-2)"	"unprognostic (6.57e-3)"		"unprognostic (1.45e-1)"	"unprognostic (1.86e-3)"		"unprognostic (1.09e-1)"			"unprognostic (6.28e-3)"
ESYT1	"FAM62A, KIAA0747, MBC2"	ENSG00000139641	"Extended synaptotagmin 1"	Q9BSJ8	12	56118250-56144674	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Lipid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Colon - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016858, HPA076926"	Approved		Supported	"Endoplasmic reticulum"			NA	NA		710000	"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 19: NK-cells - Adaptive immune response"	110	"Endoplasmic reticulum"		"HPA016858: AB_1848404, HPA076926: AB_2686819"	"unprognostic (2.15e-3)"	"unprognostic (3.10e-2)"	"unprognostic (5.59e-2)"	"unprognostic (5.07e-2)"	"unprognostic (3.90e-2)"	"unprognostic (2.20e-1)"	"unprognostic (1.06e-1)"	"unprognostic (1.32e-3)"	"unprognostic (3.04e-1)"	"unprognostic (1.26e-2)"	"unprognostic (7.51e-9)"	"unprognostic (1.27e-1)"	"unprognostic (1.13e-1)"	"unprognostic (3.98e-2)"	"unprognostic (2.62e-2)"	"unprognostic (2.75e-1)"	"unprognostic (3.71e-3)"	"unprognostic (2.00e-1)"	"unprognostic (2.47e-2)"	"unprognostic (3.62e-1)"	"unprognostic (7.59e-3)"	"unprognostic (1.94e-2)"	"unprognostic (4.23e-2)"	"unprognostic (2.68e-1)"	"unprognostic (1.33e-1)"	"unprognostic (6.22e-3)"	"unprognostic (1.52e-1)"	"unprognostic (2.35e-1)"	"unprognostic (1.07e-2)"	"unprognostic (1.83e-1)"	"unprognostic (3.59e-2)"
FAF2	"ETEA, KIAA0887, UBXD8, UBXN3B"	ENSG00000113194	"Fas associated factor family member 2"	Q96CS3	5	176447628-176510074	"Predicted intracellular proteins, Predicted membrane proteins"	"Unfolded protein response"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA065968, HPA071246, HPA073828"	Approved		Enhanced	"Endoplasmic reticulum,Lipid droplets"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 40: Non-specific - Transcription"	"Cluster 1: Neurons - Mixed function"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 77: Plasma cells - Protein processing"	72	"Lipid droplets"	"Endoplasmic reticulum"	"HPA065968: AB_2685589, HPA071246: AB_2732176, HPA073828: AB_2686636"	"unprognostic (9.91e-2)"	"unprognostic (4.92e-3)"	"unprognostic (3.47e-1)"	"unprognostic (4.85e-2)"	"unprognostic (1.20e-2)"	"unprognostic (1.78e-1)"	"unprognostic (1.09e-1)"	"unprognostic (1.17e-2)"	"unprognostic (2.83e-2)"	"unprognostic (1.92e-3)"	"unprognostic (4.13e-6)"	"unprognostic (2.81e-2)"	"unprognostic (3.98e-2)"	"unprognostic (5.81e-4)"	"unprognostic (6.54e-3)"	"unprognostic (1.25e-4)"	"unprognostic (9.28e-3)"	"unprognostic (3.30e-3)"	"unprognostic (1.89e-1)"	"unprognostic (1.87e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.79e-1)"	"unprognostic (5.76e-1)"	"unprognostic (1.76e-1)"	"unprognostic (4.38e-3)"	"unprognostic (3.15e-1)"	"unprognostic (1.82e-1)"	"unprognostic (2.40e-1)"	"unprognostic (2.68e-1)"	"unprognostic (2.34e-2)"	"unprognostic (2.14e-1)"
FDFT1	SQS	ENSG00000079459	"Farnesyl-diphosphate farnesyltransferase 1"	P37268	8	11795573-11839304	"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism"	"Multifunctional enzyme, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Basal respiratory cells: 465.5;Ionocytes: 394.7;Oocytes: 407.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA008874	Approved		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 80: Non-specific - Endocytosis"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 35: Respiratory epithelial cells - Unknown function"	33	"Endoplasmic reticulum"		"HPA008874: AB_1078844"	"unprognostic (1.95e-1)"	"unprognostic (4.56e-3)"	"unprognostic (1.33e-1)"	"unprognostic (4.57e-2)"	"unprognostic (8.56e-4)"	"unprognostic (1.81e-1)"	"unprognostic (7.27e-2)"	"unprognostic (1.39e-4)"	"unprognostic (2.23e-1)"	"unprognostic (3.67e-3)"	"unprognostic (5.49e-9)"	"unprognostic (3.82e-4)"	"unprognostic (1.53e-1)"	"unprognostic (1.16e-3)"	"unprognostic (1.26e-3)"	"unprognostic (2.12e-1)"	"unprognostic (6.98e-2)"	"unprognostic (1.51e-1)"	"unprognostic (5.39e-3)"	"unprognostic (2.43e-1)"	"unprognostic (5.91e-2)"	"unprognostic (8.87e-4)"	"unprognostic (1.83e-2)"	"unprognostic (8.77e-2)"	"unprognostic (1.36e-2)"	"unprognostic (2.26e-1)"	"unprognostic (1.34e-1)"	"unprognostic (3.72e-2)"	"unprognostic (1.42e-1)"	"unprognostic (3.37e-1)"	"unprognostic (7.25e-3)"
FGFR3	"ACH, CD333, CEK2, JTK4"	ENSG00000068078	"Fibroblast growth factor receptor 3"	P22607	4	1793293-1808872	"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"	Apoptosis	"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, Craniosynostosis, Deafness, Disease variant, Dwarfism, Ectodermal dysplasia, FDA approved drug targets, Lacrimo-auriculo-dento-digital syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 155.8;esophagus: 135.7;skin 1: 264.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 389.2;Basal keratinocytes: 98.3;Cholangiocytes: 70.6;Suprabasal keratinocytes: 96.2"	"Group enriched"	"Detected in many"	6	"astrocyte: 516.1;bergmann glia: 251.7"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 150.3"	"Minor Salivary Gland - Minor salivary gland basal cells, Pituitary gland - Corticotropes, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004231, HPA067204"	Enhanced		Supported	"Endoplasmic reticulum"	"Secreted - unknown location"	Receptor	NA	NA		1500000		"Cluster 80: Non-specific - Endocytosis"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 47: Astrocytes - Unknown function"	217	"Endoplasmic reticulum"		"CAB004231: AB_627596, HPA067204: AB_2685804"	"unprognostic (9.17e-2)"	"unprognostic (2.61e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.84e-2)"	"unprognostic (1.03e-1)"	"unprognostic (9.40e-6)"	"unprognostic (1.03e-1)"	"unprognostic (5.13e-3)"	"unprognostic (2.02e-2)"		"unprognostic (1.50e-4)"	"unprognostic (5.99e-4)"	"unprognostic (2.11e-1)"	"unprognostic (1.52e-1)"	"unprognostic (2.97e-1)"	"unprognostic (1.62e-1)"	"unprognostic (8.95e-3)"	"unprognostic (6.55e-2)"	"unprognostic (2.92e-1)"	"unprognostic (1.86e-1)"	"unprognostic (3.74e-2)"	"unprognostic (1.92e-1)"	"unprognostic (5.66e-3)"	"unprognostic (3.50e-2)"	"unprognostic (7.51e-2)"	"unprognostic (8.45e-2)"	"unprognostic (2.99e-1)"	"unprognostic (6.59e-2)"	"unprognostic (1.52e-1)"	"unprognostic (3.71e-2)"	"unprognostic (6.42e-2)"
FMO5		ENSG00000131781	"Flavin containing dimethylaniline monoxygenase 5"	P49326	1	147175351-147243050	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	"Monooxygenase, Oxidoreductase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"liver: 662.6"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 2: 94.5;Cholangiocytes: 122.1;Hepatocytes: 245.3;Intestinal goblet cells: 58.4;Proximal enterocytes: 93.4;Proximal tubular cells: 61.7"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in many"	6	"Liver Hepatocellular Carcinoma (TCGA): 135.3;Lung Adenocarcinoma (TCGA): 33.8"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"liver cancer: 9.0"	"Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Liver - Hepatocytes, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA012373	Enhanced		Supported	"Endoplasmic reticulum,Cytosol"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 83: Liver - Metabolism"	"Cluster 30: White matter - Myelination"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"		"Endoplasmic reticulum, Cytosol"		"HPA012373: AB_1848975"	"unprognostic (3.90e-2)"	"unprognostic (2.30e-1)"	"unprognostic (1.41e-2)"	"unprognostic (8.89e-2)"	"unprognostic (4.53e-2)"	"unprognostic (1.23e-1)"	"unprognostic (1.87e-2)"			"unprognostic (5.89e-2)"	"unprognostic (5.01e-4)"	"unprognostic (2.51e-2)"	"unprognostic (6.73e-4)"	"unprognostic (7.05e-2)"	"unprognostic (3.95e-2)"	"unprognostic (1.51e-2)"	"unprognostic (3.26e-1)"	"unprognostic (1.44e-2)"	"unprognostic (4.31e-2)"		"unprognostic (6.31e-2)"	"unprognostic (3.73e-1)"	"unprognostic (2.72e-3)"	"unprognostic (8.97e-2)"	"unprognostic (4.06e-1)"	"unprognostic (1.51e-4)"	"unprognostic (1.20e-2)"	"unprognostic (7.98e-2)"	"unprognostic (2.40e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.14e-2)"
G6PC3	UGRP	ENSG00000141349	"Glucose-6-phosphatase catalytic subunit 3"	Q9BUM1	17	44070620-44082151	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins"	Gluconeogenesis	Hydrolase	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA067052			Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 43: Non-specific - Mitochondrial translation"	"Cluster 44: Non-specific - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"		"Endoplasmic reticulum"		"HPA067052: AB_2685771"	"unprognostic (7.49e-3)"	"unprognostic (2.90e-2)"	"unprognostic (1.96e-1)"	"unprognostic (2.78e-1)"	"unprognostic (9.67e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.19e-3)"	"unprognostic (1.81e-3)"	"unprognostic (1.34e-1)"	"unprognostic (4.32e-1)"	"unprognostic (2.08e-3)"	"unprognostic (7.16e-5)"	"unprognostic (1.98e-1)"	"unprognostic (7.87e-4)"	"unprognostic (9.74e-3)"	"unprognostic (6.05e-2)"	"unprognostic (4.36e-1)"	"unprognostic (2.43e-1)"	"unprognostic (1.98e-1)"	"unprognostic (1.57e-1)"	"unprognostic (3.32e-1)"	"unprognostic (2.00e-2)"	"unprognostic (1.02e-4)"	"unprognostic (5.68e-3)"	"unprognostic (4.46e-1)"	"unprognostic (1.95e-1)"	"unprognostic (3.23e-1)"	"unprognostic (2.35e-1)"	"unprognostic (2.18e-1)"	"unprognostic (7.21e-2)"	"unprognostic (1.64e-3)"
GANAB	"G2AN, GIIA, GluII, KIAA0088"	ENSG00000089597	"Glucosidase II alpha subunit"	Q14697	11	62624826-62646726	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		"Glycosidase, Hydrolase"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Colon - Macrophages, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA026874, HPA061426"	Enhanced		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	Enzyme	NA	NA		24000000	"Cluster 13: Non-specific - Mitochondria"	"Cluster 53: Non-specific - Glycosylation"	"Cluster 21: Non-specific - Metabolism"	"Cluster 63: Non-specific - Protein processing"	"Cluster 4: Extravillous trophoblasts - Unknown function"	25	"Endoplasmic reticulum"		"HPA026874: AB_1849745, HPA061426: AB_2684516"	"unprognostic (1.51e-2)"	"unprognostic (2.36e-1)"	"unprognostic (2.77e-1)"	"unprognostic (5.62e-3)"	"unprognostic (3.85e-2)"	"unprognostic (8.58e-3)"	"unprognostic (2.03e-1)"	"unprognostic (3.39e-3)"	"unprognostic (1.28e-1)"	"unprognostic (7.70e-3)"	"unprognostic (2.09e-5)"	"unprognostic (1.86e-2)"	"unprognostic (8.52e-2)"	"unprognostic (5.29e-3)"	"unprognostic (1.44e-2)"	"unprognostic (1.90e-3)"	"unprognostic (4.73e-4)"	"unprognostic (1.35e-1)"	"unprognostic (9.21e-2)"	"unprognostic (5.54e-2)"	"unprognostic (2.33e-1)"	"unprognostic (1.45e-2)"	"unprognostic (1.76e-2)"	"unprognostic (1.27e-1)"	"unprognostic (9.24e-2)"	"unprognostic (4.60e-2)"	"unprognostic (2.98e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.20e-1)"	"unprognostic (4.37e-2)"	"unprognostic (8.48e-2)"
GGH	GATD10	ENSG00000137563	"Gamma-glutamyl hydrolase"	Q92820	8	63014881-63039407	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"kidney: 121.2;liver: 183.1"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 518.4;Early spermatids: 371.7;Extravillous trophoblasts: 309.4;Late spermatids: 258.6;Oocytes: 235.3;Syncytiotrophoblasts: 725.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	5	"plasmacytoid DC: 30.6"	"Lineage enriched"	"Detected in all"	5	"dendritic cells: 30.6"	"Low cancer specificity"	"Detected in all"			"Kidney - Proximal tubular cells, Liver - Hepatocytes, Stomach - Mitotic cells (Stomach), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB019296, HPA025226"	Approved		Supported	"Endoplasmic reticulum,Vesicles"	"Intracellular and membrane"	Enzyme	NA	NA		780000000	"Cluster 13: Non-specific - Mitochondria"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 24: Neurons - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 24: Cytotrophoblasts - Mitochondria"	114	Vesicles	"Endoplasmic reticulum"	"CAB019296: , HPA025226: AB_1849645"	"unprognostic (5.16e-3)"	"unprognostic (2.75e-2)"	"unprognostic (1.03e-1)"	"unprognostic (4.03e-1)"	"unprognostic (8.92e-2)"	"unprognostic (1.81e-3)"	"unprognostic (4.96e-2)"	"unprognostic (1.66e-1)"	"unprognostic (5.66e-2)"	"unprognostic (3.35e-3)"	"unprognostic (2.45e-3)"	"unprognostic (1.35e-2)"	"unprognostic (1.06e-2)"	"unprognostic (1.11e-1)"	"unprognostic (2.22e-1)"	"unprognostic (1.83e-4)"	"unprognostic (9.85e-2)"	"unprognostic (4.05e-1)"	"unprognostic (9.19e-2)"	"unprognostic (6.42e-3)"	"unprognostic (2.05e-2)"	"unprognostic (3.21e-2)"	"unprognostic (8.06e-3)"	"unprognostic (9.22e-2)"	"unprognostic (4.59e-2)"	"unprognostic (8.57e-3)"	"unprognostic (1.43e-3)"	"unprognostic (1.29e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.31e-1)"	"unprognostic (5.94e-2)"
